method,model_version,prompt_version,reasoning,prior_correction,data_path,split,setup_id,n_boards,correct_square,correct_square_mean,correct_board,correct_board_mean,board_rank,board_rank_mean,first_output_illegal,first_output_illegal_mean,none_legal,none_legal_mean,input_tokens,input_tokens_mean,output_tokens,output_tokens_mean,inference_time,inference_time_mean,cost,cost_mean,n_suggested,n_suggested_mean,effort
cnn,optimised,1,none,false,data/generated/data.csv,val,2026-07-09_205328,18,"[0.765625, 0.765625, 0.671875, 0.75, 0.671875, 0.65625, 0.703125, 0.734375, 0.703125, 0.671875, 0.546875, 0.734375, 0.703125, 0.59375, 0.75, 0.765625, 0.75, 0.734375]",0.7039930555555556,"[true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true]",0.9444444444444444,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9969135802469135,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.8600000000005821, 0.7970000000059372, 1.110000000000582, 0.8439999999973224, 0.7960000000020955, 0.8439999999973224, 0.7649999999994179, 0.7659999999887077, 0.7350000000005821, 0.75, 0.8120000000053551, 0.7969999999913853, 1.3429999999934807, 1.6720000000059372, 1.625, 1.610000000000582, 1.5160000000032596, 1.687000000005355]",1.0738333333332168,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,val,2026-07-22_200019,17,"[0.828125, 0.734375, 0.765625, 0.71875, 0.71875, 0.703125, 0.703125, 0.71875, 0.734375, 0.71875, 0.71875, 0.734375, 0.703125, 0.671875, 0.703125, 0.6875, 0.703125]",0.7215073529411765,"[true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.4069999999919673, 1.4530000000086147, 1.4219999999913853, 1.4060000000026776, 2.0939999999973224, 1.9689999999973224, 1.812000000005355, 1.9530000000086147, 2.25, 1.7809999999881256, 1.6720000000059372, 1.7029999999940628, 1.812999999994645, 1.7029999999940628, 1.7030000000086147, 1.9059999999881256, 1.7179999999934807]",1.7508823529394302,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,val,2026-07-22_201154,11,"[0.75, 0.703125, 0.65625, 0.6875, 0.703125, 0.65625, 0.703125, 0.734375, 0.734375, 0.71875, 0.71875]",0.7059659090909091,"[true, false, true, false, true, true, true, true, true, true, true]",0.8181818181818182,"[1.0, 0.9722222222222222, 1.0, 0.975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9952574525745258,"[null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.6560000000026776, 2.125, 2.6560000000026776, 1.6089999999967404, 1.7960000000020955, 1.9840000000112923, 1.5930000000080327, 1.6559999999881256, 1.9689999999973224, 2.0780000000086147, 1.8279999999940628]",1.9045454545465128,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,val,2026-07-22_203121,10,"[0.75, 0.703125, 0.734375, 0.71875, 0.71875, 0.703125, 0.734375, 0.734375, 0.734375, 0.796875]",0.7328125,"[true, true, true, false, true, true, true, true, true, true]",0.9,"[1.0, 1.0, 1.0, 0.9705882352941176, 1.0, null, 1.0, 1.0, 1.0, 1.0]",0.9967320261437909,"[null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.687999999994645, 1.639999999999418, 1.687999999994645, 1.6720000000059372, 1.9689999999973224, 2.5460000000020955, 1.7969999999913853, 1.7179999999934807, 1.6720000000059372, 1.7029999999940628]",1.809299999997893,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,val,2026-07-22_203700,18,"[0.75, 0.78125, 0.765625, 0.78125, 0.75, 0.765625, 0.78125, 0.75, 0.765625, 0.796875, 0.796875, 0.78125, 0.78125, 0.75, 0.765625, 0.75, 0.8125, 0.796875]",0.7734375,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false]",0.8888888888888888,"[0.9743589743589743, 1.0, null, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, null, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616]",0.9959935897435898,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.625, 1.639999999999418, 1.75, 1.7189999999973224, 1.7810000000026776, 1.7190000000118744, 1.6409999999887077, 1.9220000000059372, 1.9219999999913853, 1.6720000000059372, 1.7189999999973224, 2.0, 1.875, 1.7659999999887077, 1.7970000000059372, 1.6719999999913853, 1.7189999999973224, 1.7810000000026776]",1.7622222222214785,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,test,2026-07-01_210216,7,"[0.734375, 0.6875, 0.65625, 0.875, 0.828125, 0.734375, 0.703125]",0.7455357142857143,"[true, true, true, true, true, true, true]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[1.687000000005355, 1.875, 1.9070000000065193, 1.75, 1.8439999999973224, 1.9529999999940628, 2.4839999999967404]",1.9285714285714286,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,test,2026-07-06_204708,9,"[0.84375, 0.859375, 0.734375, 0.765625, 0.75, 0.75, 0.78125, 0.796875, 0.84375]",0.7916666666666666,"[true, true, true, true, true, true, true, true, true]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2.139999999999418, 1.8439999999973224, 2.125, 2.047000000005937, 2.1560000000026776, 2.0309999999881256, 1.812000000005355, 2.125, 1.687000000005355]",1.996333333333799,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,test,2026-07-07_083055,8,"[0.75, 0.75, 0.765625, 0.703125, 0.75, 0.71875, 0.71875, 0.6875]",0.73046875,"[true, true, true, true, false, true, true, true]",0.875,"[1.0, 1.0, 1.0, 1.0, 0.9736842105263158, 1.0, 1.0, 1.0]",0.9967105263157895,"[null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.7810000000026776, 1.764999999999418, 2.0939999999973224, 1.7810000000026776, 1.7810000000026776, 1.75, 2.235000000000582, 1.6560000000026776]",1.855375000001004,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,test,2026-07-07_090013,7,"[0.765625, 0.796875, 0.75, 0.828125, 0.796875, 0.796875, 0.796875]",0.7901785714285714,"[true, true, true, true, true, true, true]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[1.8130000000091968, 1.7029999999940628, 2.0, 3.077999999994063, 2.672000000005937, 2.188000000009197, 2.0319999999919673]",2.212285714286346,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
cnn,optimised,1,none,false,data/generated/data.csv,test,2026-07-07_090457,6,"[0.734375, 0.796875, 0.546875, 0.546875, 0.734375, 0.703125]",0.6770833333333334,"[true, true, false, true, true, true]",0.8333333333333334,"[1.0, 1.0, 0.9743589743589743, 1.0, 1.0, 1.0]",0.9957264957264957,"[null, null, null, null, null, null]",,"[null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0]",0.0,"[1.9219999999913853, 1.9840000000112923, 1.9530000000086147, 1.875, 1.7810000000026776, 2.202999999994063]",1.9530000000013388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,high
